Subject,Start Date,Start Time,End Date,End Time,Description,Location,Private
Practice,11/11/2025,15:30,11/11/2025,17:30,"Dryland: running, bounding drills, core strength",Grand Rapids HS (meet at front doors),False
Practice,12/09/2025,15:30,12/09/2025,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,12/16/2025,15:30,12/16/2025,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,01/06/2026,15:30,01/06/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,01/13/2026,15:30,01/13/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,01/16/2026,15:30,01/16/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,01/19/2026,15:30,01/19/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,01/20/2026,15:30,01/20/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,01/29/2026,15:30,01/29/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
Practice,02/04/2026,15:30,02/04/2026,17:30,On-snow training: intervals and technique,Mt. Itasca,False
